,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
0,0_5,METHOD,<global>,<global>,0_____1.0,,REMAIN,METHOD_1.0: <global>,
1,0_7,METHOD,qobject_input_type_int64_keyval,"void qobject_input_type_int64_keyval (Visitor *v,const char *name,int64_t *obj,Error **errp)",0_____1.0,,REMAIN,"METHOD_1.0: void qobject_input_type_int64_keyval (Visitor *v,const char *name,int64_t *obj,Error **errp)",methodDecl qobject_input_type_int64_keyval 
2,0_8,METHOD_PARAMETER_IN,v,Visitor *v,0_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: Visitor *v,variable v 
3,0_9,METHOD_PARAMETER_IN,name,const char *name,0_____1.0,,REMAIN,METHOD_PARAMETER_IN_1.0: const char *name,variable name 
4,0_10,METHOD_PARAMETER_IN,obj,int64_t *obj,0_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: int64_t *obj,variable obj 
5,0_11,METHOD_PARAMETER_IN,errp,Error **errp,0_____2.0,,REMAIN,METHOD_PARAMETER_IN_2.0: Error **errp,variable errp 
7,0_13,LOCAL,qiv,QObjectInputVisitor* qiv,0_____4.0,,REMAIN,LOCAL_4.0: QObjectInputVisitor* qiv,variable qiv 
8,0_14,CALL,<operator>.assignment,*qiv = to_qiv(v),0_____4.0,,REMAIN,CALL_4.0: *qiv = to_qiv(v),assignment 
9,0_15,IDENTIFIER,qiv,qiv,0_____4.0,,REMAIN,IDENTIFIER_4.0: qiv,variable qiv 
10,0_16,CALL,to_qiv,to_qiv(v),0_____4.0,,REMAIN,CALL_4.0: to_qiv(v),funcCall to_qiv 
11,0_17,IDENTIFIER,v,v,0_____4.0,,REMAIN,IDENTIFIER_4.0: v,variable v 
12,0_47,RETURN,,return;,0_____15.0,,REMAIN,RETURN_15.0: return;,return return  
13,0_58,CALL,error_setg,"error_setg(errp, QERR_INVALID_PARAMETER_VALUE,
                   full_name(qiv, name), ""integer"")",0_____20.0,,REMAIN,"CALL_20.0: error_setg(errp, QERR_INVALID_PARAMETER_VALUE,
                   full_name(qiv, name), ""integer"")",funcCall error_setg 
14,0_59,IDENTIFIER,errp,errp,0_____20.0,,REMAIN,IDENTIFIER_20.0: errp,variable errp 
15,0_60,IDENTIFIER,QERR_INVALID_PARAMETER_VALUE,QERR_INVALID_PARAMETER_VALUE,0_____20.0,,REMAIN,IDENTIFIER_20.0: QERR_INVALID_PARAMETER_VALUE,variable QERR_INVALID_PARAMETER_VALUE 
16,0_61,CALL,full_name,"full_name(qiv, name)",0_____21.0,,REMAIN,"CALL_21.0: full_name(qiv, name)",funcCall full_name 
17,0_62,IDENTIFIER,qiv,qiv,0_____21.0,,REMAIN,IDENTIFIER_21.0: qiv,variable qiv 
18,0_63,IDENTIFIER,name,name,0_____21.0,,REMAIN,IDENTIFIER_21.0: name,variable name 
19,0_64,LITERAL,,"""integer""",0_____21.0,,REMAIN,"LITERAL_21.0: ""integer""",literal  
20,0_65,METHOD_RETURN,,void,0_____1.0,,REMAIN,METHOD_RETURN_1.0: void,return void 
21,0_150,METHOD_PARAMETER_OUT,v,Visitor *v,0_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: Visitor *v,variable v 
22,0_151,METHOD_PARAMETER_OUT,name,const char *name,0_____1.0,,REMAIN,METHOD_PARAMETER_OUT_1.0: const char *name,variable name 
23,0_152,METHOD_PARAMETER_OUT,obj,int64_t *obj,0_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: int64_t *obj,variable obj 
24,0_153,METHOD_PARAMETER_OUT,errp,Error **errp,0_____2.0,,REMAIN,METHOD_PARAMETER_OUT_2.0: Error **errp,variable errp 
27,0_4,TYPE_DECL,<global>,<global>,0_____1.0,,REMAIN,TYPE_DECL_1.0: <global>,type <global> 
29,0_19,CALL,<operator>.assignment,"*qobj = qobject_input_get_object(qiv, name, true, errp)",0_____5.0,,REMAIN,"CALL_5.0: *qobj = qobject_input_get_object(qiv, name, true, errp)",assignment 
30,0_22,IDENTIFIER,qiv,qiv,0_____5.0,,REMAIN,IDENTIFIER_5.0: qiv,variable qiv 
31,0_23,IDENTIFIER,name,name,0_____5.0,,REMAIN,IDENTIFIER_5.0: name,variable name 
32,0_25,IDENTIFIER,errp,errp,0_____5.0,,REMAIN,IDENTIFIER_5.0: errp,variable errp 
33,0_27,CONTROL_STRUCTURE,,if (!qobj),0_____8.0,IF,REMAIN,CONTROL_STRUCTURE_8.0: if (!qobj),ifStmt 
34,0_28,CALL,<operator>.logicalNot,!qobj,0_____8.0,,REMAIN,CALL_8.0: !qobj,logicalNot 
36,0_36,CONTROL_STRUCTURE,,if (!qstr),0_____12.0,IF,REMAIN,CONTROL_STRUCTURE_12.0: if (!qstr),ifStmt 
38,0_50,CALL,qemu_strtoi64,"qemu_strtoi64(qstring_get_str(qstr), NULL, 0, obj)",0_____18.0,,REMAIN,"CALL_18.0: qemu_strtoi64(qstring_get_str(qstr), NULL, 0, obj)",funcCall qemu_strtoi64 
39,0_53,IDENTIFIER,NULL,NULL,0_____18.0,,REMAIN,IDENTIFIER_18.0: NULL,variable NULL 
40,0_54,LITERAL,,0,0_____18.0,,REMAIN,LITERAL_18.0: 0,literal  
41,0_55,IDENTIFIER,obj,obj,0_____18.0,,REMAIN,IDENTIFIER_18.0: obj,variable obj 
42,0_56,LITERAL,,0,0_____18.0,,REMAIN,LITERAL_18.0: 0,literal  
125,0_18,LOCAL,qobj,QObject* qobj,0_____5.0,,DELETE,LOCAL_5.0: QObject* qobj,variable qobj 
126,0_20,IDENTIFIER,qobj,qobj,0_____5.0,,DELETE,IDENTIFIER_5.0: qobj,variable qobj 
127,0_21,CALL,qobject_input_get_object,"qobject_input_get_object(qiv, name, true, errp)",0_____5.0,,DELETE,"CALL_5.0: qobject_input_get_object(qiv, name, true, errp)",funcCall qobject_input_get_object 
128,0_24,LITERAL,,true,0_____5.0,,DELETE,LITERAL_5.0: true,literal  
129,0_26,LOCAL,qstr,QString* qstr,0_____6.0,,DELETE,LOCAL_6.0: QString* qstr,variable qstr 
130,0_29,IDENTIFIER,qobj,qobj,0_____8.0,,DELETE,IDENTIFIER_8.0: qobj,variable qobj 
131,0_31,RETURN,,return;,0_____9.0,,DELETE,RETURN_9.0: return;,return return  
132,0_32,CALL,<operator>.assignment,qstr = qobject_to_qstring(qobj),0_____11.0,,DELETE,CALL_11.0: qstr = qobject_to_qstring(qobj),assignment 
133,0_33,IDENTIFIER,qstr,qstr,0_____11.0,,DELETE,IDENTIFIER_11.0: qstr,variable qstr 
134,0_34,CALL,qobject_to_qstring,qobject_to_qstring(qobj),0_____11.0,,DELETE,CALL_11.0: qobject_to_qstring(qobj),funcCall qobject_to_qstring 
135,0_35,IDENTIFIER,qobj,qobj,0_____11.0,,DELETE,IDENTIFIER_11.0: qobj,variable qobj 
136,0_37,CALL,<operator>.logicalNot,!qstr,0_____12.0,,DELETE,CALL_12.0: !qstr,logicalNot 
